Geneid	F1_1	F1_2	F1_3	ND_1	ND_2	ND_3
CG8004	290	313	331	312	332	319
Cyp305a1	982	941	982	1164	1059	1083
CG8281	212	217	223	191	222	224
CG8492	31	20	18	44	21	16
CG3634	437	484	503	438	475	448
Grasp65	798	740	698	808	689	608
eIF4E5	3	1	1	1	2	1
Spc105R	28	23	24	20	25	29
Pfdn6	676	736	897	708	764	691
TORIP	557	547	560	508	556	549
Mcad	20	17	22	25	16	30
Rpn1	1937	2249	1753	1841	2144	1849
CG3698	0	0	0	0	0	1
Mtr3	152	157	182	157	156	140
CG14102	90	94	102	79	113	105
ms(3)76Ca	0	0	0	0	0	0
CG7492	930	917	850	940	917	880
PGRP-SD	2556	1587	2167	2148	3007	2127
Trpml	0	0	0	0	0	0
CG7506	367	359	422	346	341	377
tey	121	122	126	112	129	102
CG7716	0	0	0	0	0	0
Oat	1606	1541	1132	1645	1280	1403
CG14838	3	0	5	2	3	1
CG8786	531	473	557	518	561	567
CG14837	42	56	59	43	49	48
ms(3)76Cc	8	7	7	8	6	12
l(3)76BDm	803	743	759	781	829	847
CG16998	0	0	0	0	0	0
PIG-F	253	256	269	255	237	264
CG9372	1662	1581	1631	1649	1708	1717
CG7548	0	0	0	1	0	0
CG8539	297	252	249	316	267	311
CG14100	211	196	194	204	229	212
Cyp316a1	2	3	4	7	5	4
CG9330	1265	1403	1477	1319	1434	1388
CG9231	496	521	489	521	531	494
CG8541	0	1	1	0	0	0
CG8543	0	0	1	0	0	1
CG9300	196	228	262	240	266	224
ppk26	29	36	19	40	30	25
CG14835	0	0	0	1	2	0
Rac2	1048	1197	973	1118	1155	1037
Cpr76Bb	3	0	9	4	4	5
CG8560	11	6	7	20	8	5
Cpr76Ba	1	0	5	0	4	1
CG18417	0	0	1	3	0	0
CG9452	201	193	240	183	242	195
CG8562	0	0	0	0	1	0
CG9451	1470	1223	1938	1142	1374	1548
CG8563	75	56	71	96	83	63
brv1	0	0	0	0	0	0
CG8564	0	0	0	0	1	1
CG18294	0	0	0	0	0	0
SMSr	486	525	508	470	472	543
CG12519	0	0	0	0	0	0
CG14096	0	1	0	0	0	0
CG14095	0	1	1	0	1	0
Sec63	808	829	759	817	787	805
Chd3	3	3	2	3	5	13
CTCF	377	403	431	383	407	418
ms(3)76Ba	1	0	0	0	0	0
CG14834	14	11	19	13	16	105
Cln7	268	257	304	273	302	258
CG43780	0	0	0	0	0	0
Gbs-76A	2506	2784	2600	2629	2850	3618
CG14089	0	4	1	2	2	2
CG8602	2478	2850	2514	2550	2822	2947
CG14086	16	16	12	12	8	21
Rint1	333	347	322	332	394	376
CG14085	42	42	48	47	53	46
CG14088	0	0	0	0	0	0
CG8607	51	69	55	63	63	54
Aldh7A1	1202	821	787	1055	906	708
CG9666	0	0	0	0	0	0
Max	544	592	658	506	540	580
unc-13-4A	1329	1220	1263	1296	1173	1220
mRpL21	219	231	216	201	213	194
CG14830	199	167	198	152	175	181
MED4	60	60	90	59	88	85
CG14082	394	471	478	451	480	400
Cdc27	890	990	882	862	879	982
Gem2	82	82	99	76	85	74
mRpL50	203	227	235	179	212	186
CG14079	20	26	30	23	22	28
RpL18	14132	15897	19426	14531	16176	13844
Naxd	368	385	428	396	409	404
BHD	131	160	169	131	156	130
CNPYb	360	369	422	419	498	489
CG14829	1	0	1	0	0	0
CG14826	0	0	0	0	1	0
Sfxn2	694	619	632	643	654	663
Ugt316A1	582	593	547	530	607	639
SmydA-2	94	85	112	77	80	93
CG3808	133	159	112	123	174	167
Acbp3	4	7	1	2	3	0
Acbp6	7	11	9	9	6	7
CG11619	104	95	111	108	119	130
Acbp4	2	4	1	0	5	1
CG14075	661	508	1075	975	783	246
BBS1	17	14	11	15	24	12
CG6836	452	516	483	623	544	510
CG3819	4	0	1	4	4	2
CG18223	0	0	0	0	0	0
CG6839	33	8	6	34	26	1
Cpr65Ec	0	1	1	0	0	1
Cpr65Eb	1	1	1	0	0	1
CG14077	0	0	0	0	0	0
Cpr65Ea	1	2	0	2	3	0
Ir75d	4	7	8	6	6	3
CG8641	528	577	529	528	534	559
CG6843	296	281	334	209	280	270
arx	57	64	83	64	55	87
CG17744	1	0	0	0	0	0
CG3902	3712	2293	2501	3330	2483	2755
NijB	5	2	0	2	4	4
CG10063	1	1	4	0	2	0
Rad9	49	59	67	52	70	58
CG6885	0	0	0	0	0	0
CG9953	1911	2027	2314	2368	2195	2455
Mis12	24	30	30	18	28	24
Grx1	760	767	872	834	816	695
CG12477	0	0	0	0	1	0
CG10064	3	4	6	3	5	4
Dysb	152	139	120	139	109	112
Dic4	0	0	1	1	0	1
CG10075	210	211	192	188	198	220
CG8519	105	111	157	123	120	103
CG6893	1	3	1	0	0	2
CG9948	102	108	119	102	117	100
Cyp12c1	669	596	1037	481	428	411
eIF4E4	11	11	14	9	4	3
Chmp1	885	1128	1126	895	1009	1125
tow	1040	1163	1056	918	924	935
CG14073	941	823	483	929	874	954
CG14820	4	7	7	5	9	7
zpg	0	0	0	0	0	5
Atg3	791	891	966	750	789	766
Nufip	82	67	93	68	79	82
bora	2	0	2	0	0	8
CG10103	1037	1273	1165	996	1180	1313
Vps8	232	261	211	226	259	281
MED11	181	231	208	196	177	197
CG8549	303	313	342	299	297	345
CG8270	215	224	222	249	241	209
CG10147	170	158	146	191	177	223
CG18231	1	0	1	0	0	0
CG42747	51	60	80	65	64	79
CG18233	9	3	2	2	3	3
CG18234	1	8	3	5	4	8
CG13300	265	264	269	301	243	299
CG10163	0	0	0	0	0	1
CG7271	0	1	2	0	1	0
AstC-R1	731	610	642	725	604	712
CG10226	1930	1599	1495	2192	1916	2004
CG13299	2	0	6	1	1	41
CG4306	457	456	447	503	617	690
CG8219	10	13	11	11	11	7
CG13700	5	3	2	5	6	3
CG5103	0	0	0	0	0	0
Sf3b6	882	833	985	839	875	796
CG7386	54	65	64	57	51	57
CheA75a	6	0	11	0	0	4
CG7320	0	0	0	0	0	0
CG7376	115	109	102	119	117	141
CG13699	5	1	5	3	5	7
fmt	2374	2320	2386	2342	2327	2613
CG7330	0	2	3	0	1	7
Prdm13	0	1	1	5	1	3
Cpr65Az	1	1	3	2	0	0
Cyp312a1	60	68	56	142	70	37
CG13297	2	0	4	2	1	1
RpIIIC53	223	228	242	246	263	234
CG13698	800	781	703	722	839	773
CG5290	127	95	96	122	82	98
CG10467	443	379	403	423	383	363
Wdr92	152	157	153	165	160	170
CG10469	71	55	55	75	54	51
Prestin	843	724	820	778	760	850
CG13293	730	748	814	669	785	745
CG7402	237	288	320	258	267	278
ssp6	633	671	548	648	661	652
CG16775	4	4	3	8	8	2
CG6610	63	49	50	47	59	53
CG5506	70	56	1	435	276	1
CG13295	326	336	356	309	327	355
CG7408	222	298	216	258	262	311
CG6602	47	39	44	41	49	55
CG42269	143	124	96	143	106	114
TrpRS-m	447	514	489	452	508	465
CG7430	5749	5400	5472	5497	5642	4713
MED19	491	643	593	469	576	609
CG10472	24	48	54	28	36	41
CG6592	1	2	1	2	1	3
CG5567	138	109	116	114	129	119
Jon65Ai	0	0	1	0	3	0
Jon65Aii	0	0	0	0	0	1
Ir75c	11	7	2	6	8	11
Jon65Aiii	61	9	2	75	22	9
Ir75a	64	73	65	73	74	65
Jon65Aiv	29	6	6	86	17	13
Cln3	235	283	260	253	292	292
CG6462	0	0	0	0	2	1
CG5589	106	142	137	91	147	91
NUCB1	3043	3209	2755	2888	3335	2761
Adgf-B	1	0	0	0	1	1
alphaKap4	0	0	0	0	0	0
CG10479	239	261	301	277	284	306
CG6034	81	41	92	88	82	108
CG7460	62	7	19	91	21	19
CG6052	2	2	0	0	1	0
Crtc	1755	1683	1478	1557	1588	1723
CG7484	609	689	837	650	686	672
CG10483	391	413	406	359	392	334
CG7497	551	618	569	692	629	584
anchor	2790	3001	2126	3229	3004	2932
CG10486	0	1	1	0	1	1
Vps60	850	864	996	767	848	928
CG5592	0	0	0	0	0	0
CG7542	2	2	1	8	2	0
DNApol-epsilon58	22	8	9	9	11	8
CG13287	8	9	13	8	7	6
CG18586	0	0	0	0	0	6
Edc3	807	815	864	713	751	921
CG5568	0	0	2	0	0	4
CG7564	1828	2041	1977	1802	2018	1753
mad2	21	9	8	17	14	21
U4-U6-60K	295	311	289	306	353	325
kri	542	543	612	507	624	516
Oatp74D	942	906	603	940	905	861
Bre1	790	774	668	717	816	775
qjt	10	11	10	8	23	9
CG13733	5	8	4	2	12	8
Myt1	222	220	202	223	231	246
UQCR-Q	6232	6059	7770	5772	5894	5073
Ppat-Dpck	48	62	46	49	45	45
CG7589	157	188	172	185	187	278
QIL1	1361	1437	1628	1240	1387	1139
lin-28	3	3	4	4	2	3
CG18265	360	327	248	353	333	326
Blimp-1	1937	1883	1883	1970	1830	2108
Eaf6	129	106	140	109	103	127
CG12229	58	42	43	38	44	58
TM9SF3	759	757	692	751	816	819
CG10591	0	0	0	0	1	0
Sec3	435	455	412	418	489	467
Alp9	1	0	1	0	0	1
Alp10	1	1	0	3	1	3
spo	0	0	0	0	0	0
CG13728	0	0	0	0	0	0
l(3)psg2	500	504	364	500	585	548
bc10	1002	1068	1182	1009	1002	1037
sinu	575	601	622	611	693	684
Mip	371	420	543	419	520	414
brv2	0	0	0	0	0	1
CG13727	4	0	2	3	3	0
CG13285	44	81	69	64	77	53
Lkr	81	107	73	101	86	79
CG13725	0	0	0	0	0	0
CG13724	3	1	0	0	1	0
blanks	5	7	2	3	3	4
CG4669	7	8	6	9	12	9
ND-24L	0	0	1	0	0	0
CG14057	42	47	63	46	46	52
CG4835	1	3	1	1	0	5
CG13723	0	0	0	0	0	0
Papst2	306	339	333	335	352	299
CG6497	0	1	0	1	1	0
CG7707	0	1	0	0	0	0
Ir64a	34	42	43	32	60	38
CG4597	1	0	0	1	0	0
Pfdn4	390	479	515	413	442	388
CG4603	622	686	784	607	670	591
beg	153	183	153	185	170	140
Membrin	113	115	127	118	118	120
CG10674	1	0	0	0	0	0
Ilp8	10	16	21	13	13	12
CG4611	166	166	174	162	184	160
Cyt-c1	7867	7656	7739	7343	6887	6383
Prpk	90	97	107	68	109	78
CG7724	362	363	271	510	416	416
Fit2	125	120	159	141	130	113
CG6652	12	16	13	15	16	20
CHMP2B	225	277	273	199	255	259
CG10672	652	640	784	727	690	682
CG7728	309	343	370	292	323	348
Gdap1	50	60	73	76	63	67
CG3764	1026	1075	997	977	1164	1159
Gen	29	32	44	29	34	28
ATPsynCF6L	1	1	1	0	1	1
CG17030	0	0	0	0	0	0
Rh50	2111	1968	2244	2114	1880	1632
CG13704	352	390	492	355	361	446
CG13705	0	1	1	1	1	3
CG13022	14	10	10	15	6	9
Dnah3	30	18	14	27	17	26
CG13023	6	5	7	8	13	6
CG13707	254	304	281	249	268	237
CG13708	49	39	32	46	45	38
LeuRS-m	344	319	362	310	395	329
CG7509	696	622	622	577	737	633
CG9951	367	389	387	360	370	416
CG13029	2	2	4	1	2	2
CG13711	0	0	1	1	0	0
sinah	1	1	0	3	1	1
Zcchc7	1158	1144	1105	1059	1135	1258
CG12493	4	6	5	2	2	4
CG13712	0	0	1	0	0	0
kud	164	189	223	172	159	127
CG15876	4	0	0	1	2	0
CG13024	133	121	152	162	118	139
CG18418	0	0	0	0	0	0
nudC	354	393	398	365	391	339
CG7514	0	0	0	0	0	0
CG13716	7	5	6	9	3	6
CG13025	160	179	166	139	169	166
CG9701	335	325	314	417	454	521
HDAC1	426	402	405	391	421	399
PGRP-SB1	5261	3854	7057	2153	3641	2737
PGRP-SB2	8	3	9	1	2	4
CG11357	845	756	769	830	855	809
CG13026	675	661	715	664	776	532
CG13031	0	0	0	0	0	0
CG13720	0	0	0	0	0	0
CG13721	0	3	1	1	2	0
CG13032	0	1	0	0	1	0
CG13722	298	329	215	229	185	151
CG11350	4	0	3	6	7	5
CG7465	0	0	0	0	0	0
CG4101	3	3	4	4	3	7
CG11349	0	0	0	0	0	1
spd-2	25	18	28	23	24	59
CG15023	0	3	3	1	0	0
UQCR-C2	6770	7383	7495	6580	6709	5877
CG15022	0	1	0	0	0	0
Rpn12	731	740	830	679	753	626
CG11345	1	2	2	3	2	1
CG4229	0	0	0	0	0	0
CG12607	0	1	0	1	1	1
CG13033	1	0	1	1	0	0
CG15021	874	1295	1277	893	1039	758
CG15020	44	40	30	29	27	35
CG15019	428	487	681	463	442	473
DopEcR	6019	6756	6415	5975	6699	7155
CG11342	37	34	50	28	39	45
TyrRS	1130	1213	1452	1203	1187	1274
GluRS-m	51	69	51	60	67	56
TMS1	4908	5072	6354	4847	5386	5494
Cip4	2490	2436	2442	2391	2518	2347
CG15014	150	158	164	164	176	159
Gagr	303	355	329	334	365	293
Fdx2	635	571	565	524	595	587
roq	1317	1283	1089	1458	1356	1429
CG1316	2027	2432	2241	2005	2210	1994
srw	0	0	0	3	0	1
CG4842	2496	2084	2087	2911	2523	1762
Cpr72Ec	7823	7539	5119	9630	9647	4231
Ctl1	778	863	673	789	893	858
Cpr72Eb	29	25	4	50	25	6
CG1273	2	2	3	3	4	1
Cpr72Ea	48	34	15	59	49	15
ringer	1332	1529	1479	1487	1562	1471
CG11586	298	287	317	315	329	243
Tcs3	89	95	110	112	97	104
CG1309	1188	1258	1073	1184	1165	1223
Golgin104	287	310	289	268	279	331
CG15011	184	169	170	161	184	189
CG4998	1	5	2	5	4	4
CG1265	327	313	376	307	316	297
CG13058	1	2	3	3	1	0
CG13039	0	0	0	0	0	0
CG13040	0	0	0	1	0	0
Cpr64Ad	9	12	13	8	14	10
CG13059	3	1	2	6	5	3
Cpr64Ac	157	233	358	178	196	332
CG13060	3	1	0	3	0	0
Cpr64Ab	1	1	2	1	1	2
CG13041	20	3	11	2	5	2
Cpr64Aa	4	6	2	4	4	4
CG13062	7	5	5	8	3	3
CG13042	1	2	6	4	3	0
CG15005	1	1	2	2	0	0
CG13063	2	3	3	0	0	1
CG43367	1530	1513	1420	1654	1431	1671
CG13043	22	21	22	38	10	17
VhaM9.7-c	403	394	391	401	375	450
CG13044	0	0	0	0	0	0
CG4982	2	2	1	2	1	1
CG13068	6	9	12	9	11	4
Teh2	3683	3899	3403	3389	3836	3706
Teh4	407	456	477	378	431	445
CG14990	10	8	7	8	5	7
CG4962	269	344	669	236	378	458
CG4950	722	646	729	919	786	903
Ero1L	559	620	547	538	603	681
CG14989	8705	9556	8772	8250	8995	7961
CG13045	0	0	0	0	0	0
CG13070	0	0	0	0	0	0
Dpy-30L2	3	1	1	1	2	0
CG13046	1	3	3	5	3	2
CG1136	457	503	453	524	536	481
CG13047	0	1	3	0	1	0
CG13054	21	32	27	20	26	27
CG1299	1607	1545	1486	1583	1854	1594
Rcd5	877	1016	1021	754	885	982
CG13048	0	0	0	1	0	0
CG13055	57	102	109	66	124	60
CG11593	655	709	716	658	688	727
Chd64	7635	7356	6079	7773	7855	6089
CG13050	0	0	0	0	0	0
MED10	372	323	466	365	373	372
Ack	1159	1216	1043	1214	1167	1254
CG13065	0	1	2	1	1	1
PDCD-5	377	401	531	367	443	377
CG13067	345	353	482	356	353	342
CG5027	1492	1432	1581	1524	1466	1429
l(3)72Dn	154	149	172	123	165	130
CG14985	95	102	95	99	90	86
CG13073	2	4	2	3	2	1
CG14984	512	496	606	491	501	457
CG5157	4	1	2	3	0	1
CG14983	0	0	0	0	0	0
CG10853	0	0	0	0	0	0
Trs20	317	276	338	322	300	330
CG14982	813	899	794	856	879	892
Strumpellin	421	424	463	424	426	436
CG10863	3287	3223	3729	3213	3323	3553
CG12766	59	55	135	54	60	93
IntS9	179	171	189	180	185	172
CG10866	311	319	382	328	348	331
IleRS-m	124	137	124	116	160	140
ATPsynbetaL	0	0	0	0	0	1
ida	58	82	73	86	85	88
Sc2	1124	1194	1236	1379	1244	1110
CG13074	4	7	5	12	8	1
Ccz1	251	265	309	233	254	274
CG14977	447	461	583	416	449	404
CG5235	6	7	6	6	12	18
Tasp1	175	176	224	201	176	206
CG13075	1	5	3	0	4	1
CG32262	186	194	179	178	191	171
IntS10	107	109	124	111	115	121
ntc	122	119	135	138	124	138
CG5895	1118	1218	1233	1165	1219	1154
mib1	734	846	861	751	947	1034
ppk27	1	0	0	0	2	0
CG5830	2561	2485	2494	2453	2575	2592
Hip14	1108	1193	1169	1159	1217	1267
CG17027	326	335	403	355	349	381
CG10862	1	0	1	0	0	1
CG17028	44	42	63	39	50	70
CG17029	624	630	703	629	611	649
CG10357	279	256	317	255	273	256
CG17026	291	264	325	361	275	300
CG10516	782	905	712	952	804	868
CG42324	1030	1089	1068	1031	1063	1177
l(3)72Ab	959	970	991	957	1016	1122
CG17032	424	450	426	489	425	332
elgi	332	355	370	375	344	345
CG14971	441	431	389	428	422	445
armi	179	172	144	165	194	185
GXIVsPLA2	344	431	420	390	391	477
sff	1919	2049	2249	1989	2095	2286
Ids	134	161	172	126	177	143
CG12012	536	568	589	580	623	584
CG14969	663	669	673	638	694	643
CG15715	778	717	913	768	809	711
CG14961	41	59	49	46	52	50
CG18081	801	827	880	803	805	705
CG12713	39	41	34	42	53	54
CG13445	1	2	1	2	1	1
Drsl5	1543	2061	2412	1676	2175	1612
comm2	493	495	531	590	465	514
Pgant8	59	42	54	60	69	61
CG7579	0	0	0	0	0	0
CG12009	0	1	0	1	0	2
CG12017	8	6	8	9	6	6
Eig71Ek	0	0	0	0	0	0
Eig71Ej	0	0	0	0	0	0
CG14960	0	0	0	1	1	0
Eig71Ei	0	0	0	0	0	0
CG12078	0	0	1	1	0	0
Eig71Eh	0	0	0	0	0	0
eIF1	3276	3295	3711	3064	3276	2873
nSMase	312	363	425	329	345	403
CG7372	69	82	62	74	79	78
CG32269	0	0	0	0	0	0
CG13449	10	16	20	14	13	13
CG7650	158	193	181	154	202	186
gry	812	770	646	766	806	782
CG14966	75	92	107	80	89	81
CG14965	67	59	50	55	55	70
CG14958	0	0	0	0	0	0
CG14957	1	0	1	0	0	1
CG12301	181	188	139	151	206	159
mrn	100	118	136	84	111	108
CG14964	419	469	392	416	442	465
CG16979	362	356	284	373	382	349
CG14963	17	21	20	20	16	21
dop	2598	2836	2503	2854	2812	3075
Asciz	116	118	121	115	146	131
SCCRO	678	650	695	614	657	608
CG7739	1639	1634	1464	1659	1724	1695
ND-30	2080	2191	2360	2135	2099	1787
Alg2	332	335	363	297	320	307
yellow-k	0	0	1	0	0	0
CG13454	0	3	2	0	1	2
CG7841	394	354	346	391	343	346
CG7857	167	218	231	170	204	193
Cht7	150	138	98	173	99	84
CG7272	2062	1814	1868	2049	1954	1880
CPT2	849	792	724	976	817	822
Prp31	303	350	354	309	368	311
CG7275	292	297	327	280	319	277
CG32486	5515	5461	6106	5133	5310	5732
Msh6	111	97	79	92	107	115
CG13455	12	4	9	5	7	12
CG9970	0	0	0	0	0	0
CG16753	72	93	86	79	81	59
FucTA	471	455	338	476	481	434
CG7804	0	0	0	1	0	0
spz5	115	165	151	145	156	132
Pex3	854	932	766	896	963	907
Sk2	414	459	382	436	449	476
scramb2	808	887	993	824	1011	912
CG2162	1761	1688	1521	1614	1743	1572
Tet	2606	2433	1912	2308	2219	2481
Cep135	114	153	123	105	135	141
CG6888	0	0	0	0	0	0
FMRFaR	242	249	206	192	271	253
CG7011	250	233	212	216	213	202
CG13458	141	93	141	155	124	152
Atg2	2140	2137	1674	1888	2266	2187
CG2113	0	0	0	0	0	0
CG6878	378	385	494	371	393	365
CG12093	662	683	774	628	647	633
AhcyL1	1738	1722	1884	1789	1924	1984
sstn	211	207	181	163	197	234
Non2	853	993	927	919	862	867
Fife	3727	3547	3510	3887	3570	3786
CG13460	0	0	0	0	0	0
EAChm	0	0	0	0	0	0
CG18649	0	0	0	0	0	0
CG13461	0	0	0	0	0	0
CG12310	0	8	1	0	0	2
CG18581	0	0	0	0	0	0
ProRS-m	97	97	108	88	106	92
CG1246	19	15	11	19	16	12
CG1143	246	284	281	203	250	229
CG14949	8	13	7	6	3	10
Reck	179	173	185	187	201	200
CG16986	290	290	324	360	288	282
CG5114	289	298	324	256	253	206
CG12182	130	97	87	97	99	104
CG3349	0	0	0	0	0	0
CG16985	114	122	117	130	128	114
DCX-EMAP	168	303	267	196	244	290
CG16984	4	1	3	2	3	2
gnu	5	4	9	3	3	24
Tdrd3	479	541	554	450	514	554
bmm	2218	2515	2088	2742	1612	2586
Cyp4d20	1259	1085	1111	1427	1287	1389
mop	1897	2060	1860	1978	2032	2166
CG16762	3	8	7	6	7	7
CG17173	5	8	5	10	8	5
CG9384	1352	1201	1165	1355	1309	1378
CG13471	0	0	0	0	0	2
CG15877	68	66	105	52	53	61
CG13473	0	0	0	1	0	0
CG9004	194	185	151	175	163	186
CG8993	747	840	731	826	736	610
CG17177	2	0	1	1	2	4
CG1317	2611	2830	2444	2751	2919	2862
CG13474	0	0	0	0	0	0
CG13801	0	0	0	0	0	0
goddard	0	0	0	0	0	0
MsR1	262	214	202	358	236	264
CG5048	21	28	29	22	11	23
CG4914	5	5	7	6	3	4
yellow-g2	5	6	21	11	7	46
CG13806	5	8	2	22	15	2
CG4613	4	7	2	8	1	6
CG9592	0	0	0	0	0	0
ecd	414	471	525	415	521	474
CG13807	130	160	165	137	158	117
bbg	805	821	629	787	860	798
oxt	671	760	653	683	744	780
CG2034	206	249	259	208	231	200
CG3919	31	26	21	27	24	26
CG3868	8	3	0	7	4	2
CG13482	56	25	10	14	21	15
Oseg2	85	96	78	75	72	95
CG7906	234	221	318	240	246	294
CG15878	6	10	22	16	16	17
CG7924	7	5	10	5	9	4
nan	34	17	32	30	19	38
CG13810	15	16	0	10	2	1
CG15820	0	0	1	0	0	1
Sox21b	363	366	381	355	351	339
Sox21a	8	5	5	8	12	11
CG15879	34	27	23	34	43	37
CG15822	82	121	76	65	74	90
CG13484	101	108	154	100	142	115
CG6833	152	162	160	162	152	144
Neurl4	571	586	552	558	557	563
CG6661	0	0	0	0	0	0
CG1139	9	3	4	6	3	5
CG6650	411	474	430	413	463	443
CG11815	0	0	0	0	0	0
CG1927	3343	3586	3717	3527	3612	3292
upSET	2026	1810	1386	1900	1845	1972
mv	2410	2282	1880	2494	2133	2516
Cnb	24	39	55	49	49	37
CG17359	100	87	116	92	98	89
Mfap1	234	289	302	247	250	300
CG17361	69	65	64	53	69	40
CG5687	1757	1575	1775	1770	1764	1739
CG9040	0	0	1	1	0	2
CG17362	4	0	0	0	1	0
Dbx	31	55	35	29	36	43
dsb	1841	2203	1500	2723	2585	2117
CG13738	11	7	8	7	9	2
ssp2	0	0	0	0	0	0
CG13924	29	22	19	17	29	24
CG12025	3190	2992	3536	3386	3299	3681
CG8833	184	215	244	201	223	226
CNMa	8	14	14	10	26	10
dysc	5069	5911	5263	4783	5782	5803
Cpr62Bc	234	273	214	224	227	144
Cpr62Bb	345	357	394	372	363	338
Cpr62Ba	23	30	36	26	37	21
CG8745	2615	3096	4441	2220	4531	3960
CG8757	13	20	6	9	22	19
PIG-Wb	1	0	0	2	0	2
Oseg4	31	38	39	36	32	25
CG10710	68	90	104	80	73	85
CG10116	11	8	11	11	7	11
CG12020	0	0	0	0	0	0
CG12035	3	1	1	1	2	2
JMJD7	70	95	89	80	98	79
mRpL46	299	277	280	281	225	223
CG18171	73	91	56	73	63	92
Vps36	187	250	225	226	250	246
CG2021	80	110	135	88	88	95
Spt20	744	751	621	724	723	759
CG14109	802	876	1051	839	905	790
CG12018	87	88	91	77	78	66
CG7991	211	217	210	210	202	207
CG10140	2	1	0	2	0	0
CG13933	646	678	767	634	680	705
Abp1	566	610	597	609	683	670
CG10725	1	3	1	4	2	0
CG10154	0	0	0	0	0	0
CG8001	625	639	575	587	592	624
CG13931	41	34	42	35	36	33
CG12011	1	2	3	0	5	1
CG10713	297	326	307	245	297	284
CG13930	5	10	2	5	3	2
CG14105	246	181	235	216	188	225
RabX5	36	56	78	59	68	65
CG14106	0	1	2	1	2	4
CG7974	142	145	165	110	150	132
CG10222	76	88	79	66	91	89
Poc1	46	52	57	27	54	59
Vta1	868	1122	963	806	989	1025
CG13920	474	445	628	430	456	409
CG14110	1	2	1	0	1	1
CG17249	141	123	152	98	122	145
CG14107	1	0	2	1	2	0
CG14111	0	0	0	0	0	0
CG13919	117	103	130	105	114	117
SNCF	0	0	0	0	0	0
CG13928	5145	5875	6067	5265	5597	5181
CG17687	13	10	31	22	21	29
snky	0	0	0	0	0	1
CG13926	0	0	0	0	1	2
CG11251	0	0	0	0	0	0
CG12105	60	108	38	44	81	28
CG17300	0	0	0	0	0	0
CG12104	291	316	283	290	267	310
CG11279	154	175	141	175	169	147
SRm160	795	860	796	841	886	798
Zmynd10	31	16	20	10	17	16
CG12003	76	78	70	83	82	77
Pex10	126	156	159	136	161	146
ste14	32	47	34	36	35	43
CG11267	1847	1772	1621	1547	1534	1138
Pcyt2	1137	1094	1263	947	1203	1474
MICAL-like	742	708	745	714	765	879
Cul6	110	121	85	100	113	123
CG12091	2942	3295	3602	2933	3188	2985
CG11263	10	7	7	7	10	15
CG11262	0	0	0	0	0	0
CG10749	0	0	0	0	0	0
CG10748	0	0	0	0	1	0
CG10752	0	1	0	0	0	1
FASN2	35	40	53	44	39	86
CG14118	3	9	6	3	4	5
CG43894	2	2	1	3	1	1
CG14120	0	0	1	2	0	0
CG10943	0	1	2	7	0	0
Ent3	859	807	873	916	852	984
Wbp2	2481	2777	2913	2604	2809	2852
CG42588	253	287	221	225	255	325
Sf3a2	185	252	299	202	247	193
Atg1	2378	2299	2072	2228	2282	2378
CG10969	0	0	0	0	0	0
CG4069	197	203	271	205	188	196
Pmm2	367	313	351	346	350	288
nst	313	364	306	344	354	299
ver	46	58	58	44	42	59
Gcn5	749	917	760	688	794	917
tral	4340	4315	3934	3974	4296	4316
sti	11	5	9	12	16	19
CG10654	302	281	384	324	315	298
vih	442	417	501	459	451	444
CG10646	116	146	135	119	149	123
CG10681	82	93	73	70	71	86
CG10657	41	34	23	33	37	30
CG10660	339	382	358	377	341	350
CG10616	514	548	475	493	571	499
Smyd4-2	28	25	33	29	24	25
CG32104	157	199	170	165	188	152
CrzR	473	479	452	520	558	530
CG10418	193	205	204	157	175	191
CG4328	115	93	127	100	110	88
INPP5E	375	413	400	430	470	445
CG6910	11922	9100	12374	10175	11796	12165
CAH2	4150	3904	3676	5158	4663	3766
Pbgs	184	201	178	188	191	179
CG9760	77	107	118	111	104	79
eIF3l	6000	5955	7385	5872	6212	6422
RhoGAP68F	1682	1865	1625	1439	1668	1851
Atg12	138	164	169	120	132	148
CG5645	192	193	197	201	185	177
CG5626	28	29	23	32	42	35
CG11534	75	96	106	80	92	99
CG11529	37	40	63	38	64	72
Ir68b	0	0	0	0	0	1
ssp	274	267	267	246	287	225
vers	229	227	237	229	245	223
CG17154	0	0	0	1	0	0
CG6793	0	0	2	0	0	0
Grip163	430	369	395	406	394	451
CG6931	2	6	3	6	7	5
CG6938	117	121	98	112	145	144
CG43896	0	1	0	1	1	1
CG14125	329	66	2	354	41	11
CG7248	0	0	0	0	0	0
obst-G	0	0	0	0	0	0
CG17826	0	0	0	0	0	0
CG9522	36	34	44	40	51	50
CG7252	3	5	4	4	2	2
CG5883	29	34	27	37	38	39
Rpt4R	46	65	63	59	56	68
SdhAL	0	0	0	0	0	1
CG11588	0	0	0	0	0	0
CCDC151	10	10	6	9	9	6
Sprn	1	2	0	0	0	0
CG5906	0	0	0	0	0	0
CG44837	622	649	671	607	626	618
CG7264	0	0	2	1	0	2
CG11597	83	85	78	76	106	72
CG14130	99	89	97	122	110	119
CG10361	392	266	270	380	270	263
CG10907	146	149	157	124	141	145
CG5964	21	21	20	15	16	19
CG14131	49	66	49	51	61	87
Tim13	0	0	0	1	0	0
Muc68D	4068	6844	10	2815	316	41
crim	365	409	505	341	418	406
mtTFB1	0	0	0	0	0	0
Dnai2	40	30	36	31	33	26
